source_episode,object_x,object_y,policy,dx,dy,dz,pregrasp_success,pregrasp_distance,grasp_success,alignment_error,descent_error,descent_residual_x,descent_residual_y,descent_residual_z,lift_tracking_error,object_lift,object_xy_motion,hand_object_distance
28,0.4204081296920776,-0.1092793270945549,targeted,0.0,0.0,0.005,1,0.036637358367443085,0,0.005946967841651917,0.016567804448471113,0.0010801255702972412,-0.003944903612136841,-0.0160550057142973,0.0123639814121611,-1.2926757335662842e-06,0.00795327714004496,0.3217801636318435
29,0.4126269817352295,-0.1127190440893173,targeted,0.0,0.0,0.005,1,0.03791622444987297,0,0.0058907740966823875,0.01685058146249275,0.0019831955432891846,-0.004063010215759277,-0.016232713237404828,0.012334027045795032,1.1548399925231934e-07,0.007216840678826668,0.32224940339327096
32,0.4252530634403229,-0.1087189391255378,targeted,0.0,0.0,0.005,1,0.03552308306097984,0,0.005994389684250416,0.017075001539418606,0.0016662180423736572,-0.003778204321861267,-0.01656817935407162,0.012406077011343844,-5.153939127922058e-06,0.0077669667817466745,0.32237074392955023
67,0.4106421172618866,-0.1034040749073028,targeted,0.0,0.0,0.005,1,0.037347082048654556,0,0.005691891872190925,0.01682504121323549,0.0021260082721710205,-0.004130996763706207,-0.016170867830514912,0.012315948463588076,-2.3301690816879272e-06,0.008418482292960421,0.3222072041752391
14,0.4063156247138977,-0.0965389907360076,original,0.0,0.0,0.01,1,0.039500731974840164,0,0.008048505040539588,0.014093901910134196,0.0025790035724639893,-0.005394294857978821,-0.012762773782014847,0.012690334791406003,-3.028661012649536e-06,0.0056693810435073854,0.3234202463312956
27,0.4140132665634155,-0.096694678068161,original,0.0,0.0,0.01,1,0.038622889667749405,0,0.007895196353337422,0.014045004123131484,0.002357184886932373,-0.0053154900670051575,-0.012784810736775398,0.0127067121194007,-3.0174851417541504e-06,0.006740540926587296,0.32351014187833477
28,0.4204081296920776,-0.1092793270945549,targeted,0.0,0.0,0.01,1,0.03632752597332001,0,0.00589655350719263,0.012219429020569826,0.0016075968742370605,-0.003982357680797577,-0.011439882218837738,0.012395487466795115,-3.3229589462280273e-06,0.007322772589778721,0.32272442656652195
29,0.4126269817352295,-0.1127190440893173,targeted,0.0,0.0,0.01,1,0.03791622444987297,0,0.0058907740966823875,0.012048534220896141,0.0018305778503417969,-0.00421316921710968,-0.011138463392853737,0.012352450795197962,1.1548399925231934e-07,0.00560400043919603,0.3225358632281147
32,0.4252530634403229,-0.1087189391255378,targeted,0.0,0.0,0.01,1,0.03610315918922424,0,0.006085290602347422,0.012292738660521841,0.0014556944370269775,-0.003858044743537903,-0.011580495163798332,0.012416280386578871,-1.403316855430603e-05,0.005882158787534216,0.3228255424586253
67,0.4106421172618866,-0.1034040749073028,targeted,0.0,0.0,0.01,1,0.037347082048654556,0,0.005691891872190925,0.012050097624249639,0.0020066797733306885,-0.004251271486282349,-0.011095259338617325,0.012331715308459551,-2.3301690816879272e-06,0.006185701101894337,0.3224762119155893
14,0.4063156247138977,-0.0965389907360076,original,0.0,0.005,0.0,1,0.039500731974840164,0,0.008048505040539588,0.02177675054993338,0.0025814473628997803,-0.004466215968132015,-0.02115693524479867,0.012522037559523745,-3.028661012649536e-06,0.02247927266313701,0.3221421925567033
27,0.4140132665634155,-0.096694678068161,original,0.0,0.005,0.0,1,0.038622889667749405,0,0.007895196353337422,0.021787840722977275,0.0022296011447906494,-0.0044676911830902055,-0.021207984760403642,0.012535641026820763,-3.0174851417541504e-06,0.023451018434361832,0.32226919968862233
28,0.4204081296920776,-0.1092793270945549,targeted,0.0,0.005,0.0,1,0.03632752597332001,0,0.00589655350719263,0.021505933781043065,0.0020470023155212402,-0.0034148496389388994,-0.021134184896945962,0.012390150217533617,-3.3229589462280273e-06,0.022940711554392253,0.3219634642578604
29,0.4126269817352295,-0.1127190440893173,targeted,0.0,0.005,0.0,1,0.03791622444987297,0,0.0058907740966823875,0.021425512161728253,0.0021860897541046143,-0.003586831390857692,-0.021009717360138902,0.012335020804458804,1.1548399925231934e-07,0.020660351599521752,0.32179240079077415
32,0.4252530634403229,-0.1087189391255378,targeted,0.0,0.005,0.0,1,0.03552308306097984,0,0.005994389684250416,0.02149979950438606,0.0019435584545135498,-0.0033081424236297563,-0.021154672130942354,0.012427138981438107,-5.153939127922058e-06,0.02224150557760086,0.3219144254987869
67,0.4106421172618866,-0.1034040749073028,targeted,0.0,0.005,0.0,1,0.037347082048654556,0,0.005691891872190925,0.021411242523425366,0.00229606032371521,-0.0036477398872375444,-0.020972920805215844,0.012305459886120158,-2.3301690816879272e-06,0.022501910166441028,0.3218570591581001
14,0.4063156247138977,-0.0965389907360076,original,0.0,0.005,0.005,1,0.039500731974840164,0,0.008048505040539588,0.01764994191902453,0.002532780170440674,-0.004326420724391933,-0.01692298904061318,0.012555479265212565,-3.028661012649536e-06,0.01880078581272365,0.3227318683247931
